1473792050404---0000200000000000078038330429350470420710                      0 
1473792050405---100020000000000008403832052936046042074104035182001           0 
1473792050406---100020000000000008903835052938046042074203040282002           0 
1473792050407---220020000000000009203831092939049043066323040182003           2 
1473792050408032800020000000000009403736122939050044061--3032                 - 
1473792050409038800030000000000009803536122940050043057--3038                 - 
1473792050410040280030000000000010203635122941050043059-3403473040-           - 
1473792050411044280030000000000010203635122941050043059-3403373044-           - 
1473792050412049280030000000000009903435112940052043051-4404263049-           - 
1473792050413045800020000000000009903333102940053044047--3045                 - 
1473792050414050280020000000000009903432102940054044047-3404273050-           - 
1473792050415055580020000000000009503419032939055045045-7305537070-           - 
1473792050416055580020000000000009203513052938055045047-7305537070-           - 
1473792050417075250020000000000009503400002939056045044933055670759           9 
1473792050418080500015000000000009603402042939055045045997080                 9 
1473792050419---200015000000000009903414042940053044049557080                 5 
1473792050420---200015000000000010603413032942052043051227080                 2 
1473792050421---200015000000000011603729042945050044061227090                 2 
1473792050422090500015000000000012003731052946048043066997090                 9 
1473792050423---200015000000000012003825052946047042071227090                 2 
1473792050500---0000200000000000116035000029450460410660                      0 
1473792050501---0000200000000000115035010629450420390760                      0 
1473792050502---200020000000000011303606052944043039076557070                 5 
1473792050503090500020000000000011403107082945046039056887090                 7 
1473792050504095800020000000000012603808082948046042074--7095                 - 
1473792050505090800012000000000013004009092949046043080--7090                 - 
1473792050506100280020000000000014203909122953047043074-3303077100-           - 
1473792050507036280020000000000015203911122956047043074-3302573036-           - 
1473792050508027580020000000000016103711122958048043066-6402743040-           - 
1473792050509027580015000000000016403710112959049043064-8402723042-           - 
1473792050510033800015000000000016803510132960048042061--3033                 - 
1473792050511032800015000000000017103608122961048042063--3032                 - 
1473792050512036280015000000000016803809122960050044064-2402583036-           - 
1473792050513042280015000000000017503709112962050044061-3403073042-           - 
1473792050514055280020000000000017103709122961052045057-3403073055-           - 
1473792050515045800020000000000017103510072961052044053--3045                 - 
1473792050516048800020000000000017103307112961052043049--3048                 - 
1473792050517048800020000000000017503508112962052044053--3048                 - 
1473792050518043800020000000000018203410102964051043052--3043                 - 
1473792050519055800020000000000019203410102967050042054--3055                 - 
1473792050520050800020000000000019903311092969050042052--3050                 - 
1473792050521055800020000000000020903411102972049042056--3055                 - 
